source,raw_text,clean_text,tokens,token_len,lang
youtube,Hari người nước nào vậy😊,hari người nước nào vậy,"['hari', 'người', 'nước', 'nào', 'vậy']",5,vi
youtube,Nhìn ông này cỡ 25 tuổi😊,nhìn ông này cỡ tuổi,"['nhìn', 'ông', 'này', 'cỡ', 'tuổi']",5,vi
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1304"">21:44</a> nhìn chị Ri ăn ngon quá =))))))",nhìn chị ri_ăn ngon quá,"['nhìn', 'chị', 'ri_ăn', 'ngon', 'quá']",5,vi
youtube,Ước hạnh phúc với quay đc vlog như anh chị 🙄,ước hạnh_phúc với quay được vlog như anh_chị,"['ước', 'hạnh_phúc', 'với', 'quay', 'được', 'vlog', 'như', 'anh_chị']",8,vi
youtube,Minh khôi ❤hoài Anh,minh_khôi hoài anh,"['minh_khôi', 'hoài', 'anh']",3,vi
youtube,"Xem 2 anh chị vừa hài vừa hay,đáng iuu😊",xem anh_chị vừa hài vừa hay đáng iuu,"['xem', 'anh_chị', 'vừa', 'hài', 'vừa', 'hay', 'đáng', 'iuu']",8,vi
youtube,"Thích coi chương trình này của ổng bả ghê mà bây giờ ít thấy quay như vậy nữa chắc do ổng bận rộn quá,2 vợ chồng dễ thương ghê",thích coi chương_trình này của ổng bả ghê mà bây_giờ ít thấy quay như_vậy nữa chắc do ổng bận_rộn quá vợ_chồng dễ_thương ghê,"['thích', 'coi', 'chương_trình', 'này', 'của', 'ổng', 'bả', 'ghê', 'mà', 'bây_giờ', 'ít', 'thấy', 'quay', 'như_vậy', 'nữa', 'chắc', 'do', 'ổng', 'bận_rộn', 'quá', 'vợ_chồng', 'dễ_thương', 'ghê']",23,vi
youtube,Anh mời Tuấn Trần với Phương Anh Đào đi đảm bảo view cao!,anh mời tuấn_trần với phương anh đào đi đảm_bảo view cao,"['anh', 'mời', 'tuấn_trần', 'với', 'phương', 'anh', 'đào', 'đi', 'đảm_bảo', 'view', 'cao']",11,vi
youtube,Ông quay phim rung quá nhìn chóng mặt 😂😂😂,ông quay_phim rung quá nhìn chóng_mặt,"['ông', 'quay_phim', 'rung', 'quá', 'nhìn', 'chóng_mặt']",6,vi
youtube,Bận đạo diễn phim quá nên STT chờ mãi chưa có tập mới lun 😢 nhớ chị Hari quá! Hy vọng tập sau với c Hari tiếp để xem cho đã cái nư 💕,bận đạo_diễn phim quá nên stt chờ mãi chưa có tập mới lun nhớ chị hari quá hy_vọng tập sau với hari tiếp để xem cho đã cái nư,"['bận', 'đạo_diễn', 'phim', 'quá', 'nên', 'stt', 'chờ', 'mãi', 'chưa', 'có', 'tập', 'mới', 'lun', 'nhớ', 'chị', 'hari', 'quá', 'hy_vọng', 'tập', 'sau', 'với', 'hari', 'tiếp', 'để', 'xem', 'cho', 'đã', 'cái', 'nư']",29,vi
youtube,Bh quay tiếp vậy a ?,bh quay tiếp vậy anh,"['bh', 'quay', 'tiếp', 'vậy', 'anh']",5,vi
youtube,coi a xìn cười xỉu. &quot; ăn dữ zậy bà&quot; =)))),coi anh xìn cười xỉu ăn dữ vậy bà,"['coi', 'anh', 'xìn', 'cười', 'xỉu', 'ăn', 'dữ', 'vậy', 'bà']",9,vi
youtube,Không hiểu sao khí xem TT và Hari thì mình cảm thấy giống DuyNisa quá à!  🤣😆,không hiểu sao khí xem tt và hari thì mình cảm_thấy giống duynisa quá,"['không', 'hiểu', 'sao', 'khí', 'xem', 'tt', 'và', 'hari', 'thì', 'mình', 'cảm_thấy', 'giống', 'duynisa', 'quá']",14,vi
youtube,"Takk! Chúc hai vợ chồng năm mới mạnh mẻ, vui vẻ, an lạc và vạn sự như ý 🙏",takk chúc hai vợ_chồng năm mới mạnh_mẻ vui_vẻ an_lạc và vạn_sự như_ý,"['takk', 'chúc', 'hai', 'vợ_chồng', 'năm', 'mới', 'mạnh_mẻ', 'vui_vẻ', 'an_lạc', 'và', 'vạn_sự', 'như_ý']",12,vi
youtube,mời Bạch Hồng Cường đi ạ❤❤❤,mời bạch_hồng_cường đi,"['mời', 'bạch_hồng_cường', 'đi']",3,vi
youtube,Để í cái mắt kiến của tt đeo là vĩnh đam đeo trong phim Thỏ ơi â,để í cái mắt_kiến của tt đeo là vĩnh_đam đeo trong phim thỏ â,"['để', 'í', 'cái', 'mắt_kiến', 'của', 'tt', 'đeo', 'là', 'vĩnh_đam', 'đeo', 'trong', 'phim', 'thỏ', 'â']",14,vi
youtube,Xem cười đau bụng luôn.hari dể thương quá.còn trấn thành nói chuyện cười bung nóc.hai người sinh ra là để dành cho nhau vậy …cưng xỉu,xem cười đau bụng luôn hari dể_thương quá còn trấn_thành nói_chuyện cười bung_nóc hai người sinh ra là để_dành cho nhau vậy … cưng xỉu,"['xem', 'cười', 'đau', 'bụng', 'luôn', 'hari', 'dể_thương', 'quá', 'còn', 'trấn_thành', 'nói_chuyện', 'cười', 'bung_nóc', 'hai', 'người', 'sinh', 'ra', 'là', 'để_dành', 'cho', 'nhau', 'vậy', '…', 'cưng', 'xỉu']",25,vi
youtube,Thề anh thành hài và dễ thương tinh tế mà sao ngày xưa anh bị toxic vậy,thề anh thành hài và dễ_thương tinh_tế mà sao ngày_xưa anh bị toxic vậy,"['thề', 'anh', 'thành', 'hài', 'và', 'dễ_thương', 'tinh_tế', 'mà', 'sao', 'ngày_xưa', 'anh', 'bị', 'toxic', 'vậy']",14,vi
youtube,Chú trấn Thành ơi ngón quá bữa nào cho con đi chơi với nhà chú,chú trấn_thành ngón quá bữa nào cho con đi chơi với nhà chú,"['chú', 'trấn_thành', 'ngón', 'quá', 'bữa', 'nào', 'cho', 'con', 'đi', 'chơi', 'với', 'nhà', 'chú']",13,vi
youtube,De thuong vc xin ri ❤❤,de thuong vợ_chồng xin ri,"['de', 'thuong', 'vợ_chồng', 'xin', 'ri']",5,vi
youtube,Chúc Mừng Sinh Nhật Chú Trấn Thành Ở Tuổi 39 Nhé,chúc_mừng sinh_nhật chú trấn_thành ở tuổi,"['chúc_mừng', 'sinh_nhật', 'chú', 'trấn_thành', 'ở', 'tuổi']",6,vi
youtube,hay nhất lun ak,hay nhất lun,"['hay', 'nhất', 'lun']",3,vi
youtube,Trấn Thành Hari dễ cưng ghê lun ak,trấn thành hari dễ cưng ghê_lun,"['trấn', 'thành', 'hari', 'dễ', 'cưng', 'ghê_lun']",6,vi
youtube,Like💥💥💥👍,like,['like'],1,vi
youtube,Like💥💥💥👍,like,['like'],1,vi
youtube,"Ổng bả dễ thương quá tr quá đất, yêuuu",ổng bả dễ_thương quá triệu quá đất yêuu,"['ổng', 'bả', 'dễ_thương', 'quá', 'triệu', 'quá', 'đất', 'yêuu']",8,vi
youtube,E mê a quá a xìn oi 😊😊 ngưỡng mộ lẫn hâm mộ lun,em mê anh quá anh xìn oi_ngưỡng_mộ lẫn hâm_mộ lun,"['em', 'mê', 'anh', 'quá', 'anh', 'xìn', 'oi_ngưỡng_mộ', 'lẫn', 'hâm_mộ', 'lun']",10,vi
youtube,Hóng tập mới 2 tháng gòi anh ơi 😅,hóng tập mới tháng rồi anh,"['hóng', 'tập', 'mới', 'tháng', 'rồi', 'anh']",6,vi
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=717"">11:57</a> quả hiệu ứng😂",quả hiệu_ứng,"['quả', 'hiệu_ứng']",2,vi
youtube,Ra thêm tập với cameraman này được không ạ,ra thêm tập với cameraman này được không,"['ra', 'thêm', 'tập', 'với', 'cameraman', 'này', 'được', 'không']",8,vi
youtube,Quay giựt giựt vậy mà cuốn với vui quá !!!!!!,quay giựt giựt vậy_mà cuốn với vui quá,"['quay', 'giựt', 'giựt', 'vậy_mà', 'cuốn', 'với', 'vui', 'quá']",8,vi
youtube,Trời ơi coi mà cuốn kinh khủng!!!!!!,trời coi mà cuốn kinh_khủng,"['trời', 'coi', 'mà', 'cuốn', 'kinh_khủng']",5,vi
youtube,trời ơi trời. xem cái vlog lúc 23h đêm ta nói nó đói bụng. chớt e rùi anh chị ơiii,trời ơi_trời xem cái vlog lúc đêm ta nói nó đói bụng chớt em rồi anh_chị ơii,"['trời', 'ơi_trời', 'xem', 'cái', 'vlog', 'lúc', 'đêm', 'ta', 'nói', 'nó', 'đói', 'bụng', 'chớt', 'em', 'rồi', 'anh_chị', 'ơii']",17,vi
youtube,Ăn zữ z trời😂,ăn zữ vậy trời,"['ăn', 'zữ', 'vậy', 'trời']",4,vi
youtube,anh Thành sử dụng máy gì để quay vlog này vậy ạ,anh thành sử_dụng máy gì để quay vlog này vậy,"['anh', 'thành', 'sử_dụng', 'máy', 'gì', 'để', 'quay', 'vlog', 'này', 'vậy']",10,vi
youtube,Sao a nói tiếng Việt vs người hàn ko v 😂,sao anh nói tiếng việt với người hàn không vậy,"['sao', 'anh', 'nói', 'tiếng', 'việt', 'với', 'người', 'hàn', 'không', 'vậy']",10,vi
youtube,Làm siêu thực thành tiếp dii anh Trấn Thành ơiiii nhớ mờii công chúa Quang Tuấn Nhaaaaaaaaaaa❤❤❤,làm siêu_thực thành tiếp dii anh trấn thành ơii nhớ mờii công_chúa quang_tuấn nhaa,"['làm', 'siêu_thực', 'thành', 'tiếp', 'dii', 'anh', 'trấn', 'thành', 'ơii', 'nhớ', 'mờii', 'công_chúa', 'quang_tuấn', 'nhaa']",14,vi
youtube,Giống như 2 chị em hơn là vợ chồng 😂,giống như chị_em hơn là vợ_chồng,"['giống', 'như', 'chị_em', 'hơn', 'là', 'vợ_chồng']",6,vi
youtube,Quay máy gì vậy mng?,quay máy gì vậy mng,"['quay', 'máy', 'gì', 'vậy', 'mng']",5,vi
youtube,Bà hariwon dễ thuwong ghê,bà hariwon dễ thuwong ghê,"['bà', 'hariwon', 'dễ', 'thuwong', 'ghê']",5,vi
youtube,"Hari trẻ đẹp , lâu rồi mới thấy vợ chồng đi chung nhau ❤❤❤❤❤❤Trấn Thành bớt làm việc lại đi chơi với vợ nhiều nhiều tâm hồn trẻ trung lâu già",hari trẻ đẹp lâu rồi mới thấy vợ_chồng đi chung nhau trấn_thành bớt làm_việc lại đi chơi với vợ nhiều nhiều tâm_hồn trẻ trung_lâu già,"['hari', 'trẻ', 'đẹp', 'lâu', 'rồi', 'mới', 'thấy', 'vợ_chồng', 'đi', 'chung', 'nhau', 'trấn_thành', 'bớt', 'làm_việc', 'lại', 'đi', 'chơi', 'với', 'vợ', 'nhiều', 'nhiều', 'tâm_hồn', 'trẻ', 'trung_lâu', 'già']",25,vi
youtube,Bả dthw ác,bả dthw ác,"['bả', 'dthw', 'ác']",3,vi
youtube,Lúc anh nói với người Trung Quốc là nói tiếng Việt😂😂😂😂😂❤,lúc anh nói với người trung_quốc là nói tiếng việt,"['lúc', 'anh', 'nói', 'với', 'người', 'trung_quốc', 'là', 'nói', 'tiếng', 'việt']",10,vi
youtube,Sao Hàn Quốc mà nói tiếng Việt😂😂😂,sao hàn_quốc mà nói tiếng việt,"['sao', 'hàn_quốc', 'mà', 'nói', 'tiếng', 'việt']",6,vi
youtube,RA TẬP MỚI LẸ ĐI ANH XÌN ƠI,ra tập mới lẹ đi anh xìn,"['ra', 'tập', 'mới', 'lẹ', 'đi', 'anh', 'xìn']",7,vi
youtube,Hai vợ chồng dễ thương quá à,hai vợ_chồng dễ_thương quá,"['hai', 'vợ_chồng', 'dễ_thương', 'quá']",4,vi
youtube,Dễ thương quá❤❤❤,dễ_thương quá,"['dễ_thương', 'quá']",2,vi
youtube,Nhìn thèm thật sự,nhìn thèm thật_sự,"['nhìn', 'thèm', 'thật_sự']",3,vi
youtube,A Xìn vs chị Hari siêu hài dễ thương vl luôn í,anh xìn với chị hari siêu_hài dễ_thương rất luôn í,"['anh', 'xìn', 'với', 'chị', 'hari', 'siêu_hài', 'dễ_thương', 'rất', 'luôn', 'í']",10,vi
youtube,thích xem vid của 2 người lắm ạ,thích xem vid của người lắm,"['thích', 'xem', 'vid', 'của', 'người', 'lắm']",6,vi
youtube,Tập này coi hay thiệt sự á,tập này coi hay thiệt_sự á,"['tập', 'này', 'coi', 'hay', 'thiệt_sự', 'á']",6,vi
youtube,Mỗi lần quay cảnh Hari ăn mà bị Trấn thành chửi là tôi cười đau bụng,mỗi lần quay cảnh hari ăn mà bị trấn_thành chửi là tôi cười đau bụng,"['mỗi', 'lần', 'quay', 'cảnh', 'hari', 'ăn', 'mà', 'bị', 'trấn_thành', 'chửi', 'là', 'tôi', 'cười', 'đau', 'bụng']",15,vi
youtube,Hạnh phúc dữ,hạnh_phúc dữ,"['hạnh_phúc', 'dữ']",2,vi
youtube,Ổng dễ thương vậy mà sao có người ghét dc trởi<br>Review siêu có tâm hơn tất cả các food reviewer luôn á,ổng dễ_thương vậy_mà sao có người ghét được trởi review siêu có tâm hơn tất_cả các food reviewer luôn á,"['ổng', 'dễ_thương', 'vậy_mà', 'sao', 'có', 'người', 'ghét', 'được', 'trởi', 'review', 'siêu', 'có', 'tâm', 'hơn', 'tất_cả', 'các', 'food', 'reviewer', 'luôn', 'á']",20,vi
youtube,2vck dễ thương quá điii❤❤,vck dễ_thương quá đii,"['vck', 'dễ_thương', 'quá', 'đii']",4,vi
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1304"">21:44</a> , <a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1425"">23:45</a> người đẹp ăn nhìn sành điều quá àh 😂😂😂",người đẹp ăn nhìn sành_điều quá àh,"['người', 'đẹp', 'ăn', 'nhìn', 'sành_điều', 'quá', 'àh']",7,vi
youtube,cháu chào chú Trấn Thành,cháu chào_chú trấn thành,"['cháu', 'chào_chú', 'trấn', 'thành']",4,vi
youtube,Trấn thành cũng chiều vợ quá nè,trấn thành cũng chiều vợ quá,"['trấn', 'thành', 'cũng', 'chiều', 'vợ', 'quá']",6,vi
youtube,Ước có 1 ty đẹp hồn nhiên như v,ước có ty đẹp hồn_nhiên như_vậy,"['ước', 'có', 'ty', 'đẹp', 'hồn_nhiên', 'như_vậy']",6,vi
youtube,"mình thích xem kiểu review như vậy hơn, tự nhiên , gần gũi",mình thích xem kiểu review như_vậy hơn tự_nhiên gần_gũi,"['mình', 'thích', 'xem', 'kiểu', 'review', 'như_vậy', 'hơn', 'tự_nhiên', 'gần_gũi']",9,vi
youtube,Tại anh chị mới ăn kem ngọt á. Nên ăn cái gì nó cũng sẽ tăng vị lên á,tại anh_chị mới ăn kem ngọt á nên ăn cái gì nó cũng sẽ tăng vị lên á,"['tại', 'anh_chị', 'mới', 'ăn', 'kem', 'ngọt', 'á', 'nên', 'ăn', 'cái', 'gì', 'nó', 'cũng', 'sẽ', 'tăng', 'vị', 'lên', 'á']",18,vi
youtube,Quay vs hari de thương mà tự nhiên vui ghê,quay với hari de_thương mà tự_nhiên vui ghê,"['quay', 'với', 'hari', 'de_thương', 'mà', 'tự_nhiên', 'vui', 'ghê']",8,vi
youtube,"Ước gì có 1 tập bao gồm: Em xinh, Chị đẹp, Anh trai chông gai, Anh trai shi!!!",ước gì có tập bao_gồm em xinh chị đẹp anh_trai chông_gai anh_trai shi,"['ước', 'gì', 'có', 'tập', 'bao_gồm', 'em', 'xinh', 'chị', 'đẹp', 'anh_trai', 'chông_gai', 'anh_trai', 'shi']",13,vi
youtube,Nhìn 2 vợ chồng hạnh phúc ghê,nhìn vợ_chồng hạnh_phúc ghê,"['nhìn', 'vợ_chồng', 'hạnh_phúc', 'ghê']",4,vi
youtube,De thương ghê,de thương ghê,"['de', 'thương', 'ghê']",3,vi
youtube,Đi hàn mà ổng nói &quot; cảm ơn chú &quot; :)),đi hàn mà ổng nói cảm_ơn chú,"['đi', 'hàn', 'mà', 'ổng', 'nói', 'cảm_ơn', 'chú']",7,vi
youtube,Làm sau để hết u mệ vợ chồng nhà này . Sinh ra như dành cho nhau á trời,làm sau để hết u_mệ vợ_chồng nhà này sinh ra như dành cho nhau á_trời,"['làm', 'sau', 'để', 'hết', 'u_mệ', 'vợ_chồng', 'nhà', 'này', 'sinh', 'ra', 'như', 'dành', 'cho', 'nhau', 'á_trời']",15,vi
youtube,Hari xinh quá,hari xinh quá,"['hari', 'xinh', 'quá']",3,vi
youtube,A đổi tiền 1k nhìu hen . Để đi ăn tiệm đg phố,anh đổi tiền nhiều hen để đi ăn_tiệm đg phố,"['anh', 'đổi', 'tiền', 'nhiều', 'hen', 'để', 'đi', 'ăn_tiệm', 'đg', 'phố']",10,vi
youtube,"ủa tập cuối rồi hả ta, cả tháng rồi chưa có tập mới anh Thành ơiiiii T.T",ủa tập cuối rồi ta cả tháng rồi chưa có tập mới anh thành ơii tôi tôi,"['ủa', 'tập', 'cuối', 'rồi', 'ta', 'cả', 'tháng', 'rồi', 'chưa', 'có', 'tập', 'mới', 'anh', 'thành', 'ơii', 'tôi', 'tôi']",17,vi
youtube,"Cái đoạn dơ quần. ông Thành đưa cái tay lên hửi rồi xĩu, tui cười có thể là tới ngày mai luôn á 😂",cái đoạn dơ_quần ông thành đưa cái tay lên hửi rồi xĩu tui cười có_thể là tới ngày_mai luôn á,"['cái', 'đoạn', 'dơ_quần', 'ông', 'thành', 'đưa', 'cái', 'tay', 'lên', 'hửi', 'rồi', 'xĩu', 'tui', 'cười', 'có_thể', 'là', 'tới', 'ngày_mai', 'luôn', 'á']",20,vi
youtube,Hóng a Xìn ra thêm nhiều tập phát sóng về trải nghiệm ẩm thực nước ngoài cùng vợ ❤ hai vc quá dễ thương ạ 😊,hóng anh xìn ra thêm nhiều tập phát_sóng về trải_nghiệm ẩm_thực nước_ngoài cùng vợ hai vợ_chồng quá dễ_thương,"['hóng', 'anh', 'xìn', 'ra', 'thêm', 'nhiều', 'tập', 'phát_sóng', 'về', 'trải_nghiệm', 'ẩm_thực', 'nước_ngoài', 'cùng', 'vợ', 'hai', 'vợ_chồng', 'quá', 'dễ_thương']",18,vi
youtube,RA TIÊP A THÀNH ƠI,ra tiêp anh thành,"['ra', 'tiêp', 'anh', 'thành']",4,vi
youtube,Rất thích chương trình của cháu trấn thành vàharivon hai vơ chồng thật tuyệt vời chúa ban phước lành amen❤❤❤❤❤,rất thích chương_trình của cháu trấn thành vàharivon hai vơ chồng thật tuyệt_vời chúa ban phước_lành amen,"['rất', 'thích', 'chương_trình', 'của', 'cháu', 'trấn', 'thành', 'vàharivon', 'hai', 'vơ', 'chồng', 'thật', 'tuyệt_vời', 'chúa', 'ban', 'phước_lành', 'amen']",17,vi
youtube,Anh quay với c Hari nhiều nhiều nha. Nhìn bả ăn ngon lành quá chời 🤣,anh quay với hari nhiều nhiều nhìn bả ăn ngon_lành quá chời,"['anh', 'quay', 'với', 'hari', 'nhiều', 'nhiều', 'nhìn', 'bả', 'ăn', 'ngon_lành', 'quá', 'chời']",12,vi
youtube,Coi tập này cười xỉu 🤣🤣🤣,coi tập này cười xỉu,"['coi', 'tập', 'này', 'cười', 'xỉu']",5,vi
youtube,Ngoi An ngay cua hang BTS ma khong biêt ha,ngoi an ngay cua hang bts_ma không biêt,"['ngoi', 'an', 'ngay', 'cua', 'hang', 'bts_ma', 'không', 'biêt']",8,vi
youtube,Coi xong muốn đi myeongdong liền nha.Chị hari dễ thương thiệt,coi xong muốn đi myeongdong liền chị hari dễ_thương thiệt,"['coi', 'xong', 'muốn', 'đi', 'myeongdong', 'liền', 'chị', 'hari', 'dễ_thương', 'thiệt']",10,vi
youtube,À chị ơi chị ở Hàn Quốc à,chị chị ở hàn_quốc,"['chị', 'chị', 'ở', 'hàn_quốc']",4,vi
youtube,Vừa lúc nãy em thấy chị hari won đánh anh trấn Thành,vừa lúc nãy em thấy chị hari won đánh anh trấn thành,"['vừa', 'lúc', 'nãy', 'em', 'thấy', 'chị', 'hari', 'won', 'đánh', 'anh', 'trấn', 'thành']",12,vi
youtube,Em là fan của anh chị đấy,em là fan của anh_chị đấy,"['em', 'là', 'fan', 'của', 'anh_chị', 'đấy']",6,vi
youtube,Thanh  cách đứng làm không thể xem được,thanh cách đứng làm không_thể xem được,"['thanh', 'cách', 'đứng', 'làm', 'không_thể', 'xem', 'được']",7,vi
youtube,Anh có bán lưu niệm mà,anh có bán lưu_niệm mà,"['anh', 'có', 'bán', 'lưu_niệm', 'mà']",5,vi
youtube,"Anh có thể làm áo bản mà , vẫn góp thôi",anh có_thể làm áo_bản mà vẫn góp thôi,"['anh', 'có_thể', 'làm', 'áo_bản', 'mà', 'vẫn', 'góp', 'thôi']",8,vi
youtube,"Anh triêu trò câu view mắt quy tín , siêu thực số tập thành nội trả phí",anh triêu_trò câu view mắt quy_tín siêu_thực_số tập thành nội trả phí,"['anh', 'triêu_trò', 'câu', 'view', 'mắt', 'quy_tín', 'siêu_thực_số', 'tập', 'thành', 'nội', 'trả', 'phí']",12,vi
youtube,"Đây là góp thôi bây,là chất lượng thì anh biến số tập thành nôi trả phí là được",đây là góp thôi bây là chất_lượng thì anh biến_số tập thành nôi trả phí là được,"['đây', 'là', 'góp', 'thôi', 'bây', 'là', 'chất_lượng', 'thì', 'anh', 'biến_số', 'tập', 'thành', 'nôi', 'trả', 'phí', 'là', 'được']",17,vi
youtube,"Tức tập cho thối quen xem trả phí với nội dung chất lượng, tập cho khán giả trả phí xem nội dung trả phí",tức tập cho thối quen xem trả_phí với nội_dung chất_lượng tập cho khán_giả trả phí xem nội_dung trả phí,"['tức', 'tập', 'cho', 'thối', 'quen', 'xem', 'trả_phí', 'với', 'nội_dung', 'chất_lượng', 'tập', 'cho', 'khán_giả', 'trả', 'phí', 'xem', 'nội_dung', 'trả', 'phí']",19,vi
youtube,"Anh triêu trò câu view mắt quy tín , siêu thực số tập thành nội trả phí",anh triêu_trò câu view mắt quy_tín siêu_thực_số tập thành nội trả phí,"['anh', 'triêu_trò', 'câu', 'view', 'mắt', 'quy_tín', 'siêu_thực_số', 'tập', 'thành', 'nội', 'trả', 'phí']",12,vi
youtube,"Anh triêu trò câu view mắt quy tín , siêu thực số tập thành nội trả phí",anh triêu_trò câu view mắt quy_tín siêu_thực_số tập thành nội trả phí,"['anh', 'triêu_trò', 'câu', 'view', 'mắt', 'quy_tín', 'siêu_thực_số', 'tập', 'thành', 'nội', 'trả', 'phí']",12,vi
youtube,"Bây giờ thành có chuyện nôi dung phim bố  hiển cụ thành trả phí là được thành nội trên Youtube là , chiêu trò mắt công câu view làm gì",bây_giờ thành có chuyện nôi_dung phim bố hiển_cụ thành trả phí là được thành nội trên youtube là chiêu_trò mắt công_câu view làm gì,"['bây_giờ', 'thành', 'có', 'chuyện', 'nôi_dung', 'phim', 'bố', 'hiển_cụ', 'thành', 'trả', 'phí', 'là', 'được', 'thành', 'nội', 'trên', 'youtube', 'là', 'chiêu_trò', 'mắt', 'công_câu', 'view', 'làm', 'gì']",24,vi
youtube,Không nên xem lúc nửa đêm.,không nên xem lúc nửa_đêm,"['không', 'nên', 'xem', 'lúc', 'nửa_đêm']",5,vi
youtube,Máy quay bị nhiễu do nhiệt độ ak anh chị,máy quay bị nhiễu do nhiệt_độ anh_chị,"['máy', 'quay', 'bị', 'nhiễu', 'do', 'nhiệt_độ', 'anh_chị']",7,vi
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=2067"">34:27</a>  &quot;cái này càng nhiều nó càng ngon nha&quot; =&gt;  <a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=2227"">37:07</a> &quot;mấy bà tẩm gia vị tẩm vừa tới thôi nha&quot; <br>Là sao nữa dị ông 😭🤗",cái này càng nhiều nó càng ngon mấy bà tẩm gia_vị tẩm vừa tới thôi là sao nữa dị ông,"['cái', 'này', 'càng', 'nhiều', 'nó', 'càng', 'ngon', 'mấy', 'bà', 'tẩm', 'gia_vị', 'tẩm', 'vừa', 'tới', 'thôi', 'là', 'sao', 'nữa', 'dị', 'ông']",20,vi
youtube,Em biết anh áp lực về thời gian trên tay có nhiều nhân viên,em biết anh áp_lực về thời_gian trên tay có nhiều nhân_viên,"['em', 'biết', 'anh', 'áp_lực', 'về', 'thời_gian', 'trên', 'tay', 'có', 'nhiều', 'nhân_viên']",11,vi
